_id,metric_name,report_group,calendar_year,kpi_count,geo_area_name
1009075,Overdoses,Community Trends,2020,,Allegheny Center
1009076,Overdoses,Community Trends,2021,,Allegheny Center
1009077,Overdoses,Community Trends,2022,,Allegheny Center
1009078,Overdoses,Community Trends,2023,,Allegheny Center
1009079,Overdoses,Community Trends,2024,,Allegheny Center
1009080,Overdoses,Community Trends,2025,,Allegheny Center
1009081,Overdoses,Community Trends,2020,,Allegheny West
1009082,Overdoses,Community Trends,2021,,Allegheny West
1009083,Overdoses,Community Trends,2022,,Allegheny West
1009084,Overdoses,Community Trends,2023,,Allegheny West
1009085,Overdoses,Community Trends,2024,,Allegheny West
1009086,Overdoses,Community Trends,2025,,Allegheny West
1009087,Overdoses,Community Trends,2020,,Allentown
1009088,Overdoses,Community Trends,2021,8,Allentown
1009089,Overdoses,Community Trends,2022,,Allentown
1009090,Overdoses,Community Trends,2023,8,Allentown
1009091,Overdoses,Community Trends,2024,,Allentown
1009092,Overdoses,Community Trends,2025,,Allentown
1009093,Overdoses,Community Trends,2020,,Arlington
1009094,Overdoses,Community Trends,2021,,Arlington
1009095,Overdoses,Community Trends,2022,7,Arlington
1009096,Overdoses,Community Trends,2023,,Arlington
1009097,Overdoses,Community Trends,2024,,Arlington
1009098,Overdoses,Community Trends,2025,,Arlington
1009099,Overdoses,Community Trends,2020,,Arlington Heights
1009100,Overdoses,Community Trends,2021,,Arlington Heights
1009101,Overdoses,Community Trends,2022,,Arlington Heights
1009102,Overdoses,Community Trends,2023,,Arlington Heights
1009103,Overdoses,Community Trends,2024,,Arlington Heights
1009104,Overdoses,Community Trends,2025,,Arlington Heights
1009105,Overdoses,Community Trends,2020,,Banksville
1009106,Overdoses,Community Trends,2021,,Banksville
1009107,Overdoses,Community Trends,2022,,Banksville
1009108,Overdoses,Community Trends,2023,,Banksville
1009109,Overdoses,Community Trends,2024,,Banksville
1009110,Overdoses,Community Trends,2025,,Banksville
1009111,Overdoses,Community Trends,2020,,Bedford Dwellings
1009112,Overdoses,Community Trends,2021,7,Bedford Dwellings
1009113,Overdoses,Community Trends,2022,,Bedford Dwellings
1009114,Overdoses,Community Trends,2023,7,Bedford Dwellings
1009115,Overdoses,Community Trends,2024,,Bedford Dwellings
